"","N","L","a","p","S","d","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","diam","cl","mu","te","si","apl"
"1",7,7,2.39800360275913,0.765763173908239,0.796311640173813,0.166666666666667,0,7,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0.488372093023256,3.08333333333333
"2",31,35,1.6948711710452,0.91347551349969,0.659242912027579,0.0376344086021505,3,39,1,4,0,0,1,0,0,0,0,0,0,18,0,2,0.107047087134292,1.78385772913817,7.70857142857143
"3",6,5,2.92359338785195,0.819861407986192,0.636514168294813,0.166666666666667,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2.33333333333333
"4",8,8,2.25574890974031,0.765763173908239,0.735621939758795,0.142857142857143,0,8,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0.543478260869565,3
"5",5,5,3.04803825991038,0.765763173908239,0.950270539233235,0.25,0,2,0,1,0,0,0,0,1,0,0,0,0,4,0.5,0,0,0.5,1.92307692307692
"6",89,90,1.600079358346,0.765763173908239,0.214502150362289,0.011491317671093,1,86,1,1,0,0,1,0,1,0,0,0,0,85,0.032258064516129,2,0.00632208518488842,0.927662758792716,28.7204081632653
"7",16,16,1.85257715880239,0.765763173908239,0.46341355882643,0.0666666666666667,0,13,0,0,0,0,1,0,0,0,0,0,0,15,0,2,0,0.211678832116788,5.62809917355372
"8",194,243,1.87184745752487,0.996386941458635,0.860368551909565,0.0064900379253245,42,292,12,43,8,0,16,0,3,1,0,2,0,77,0.0939597315436242,16,0.103934070339851,8.58661273561639,19.7250067488527
"9",19,23,1.68519778982633,0.819861407986192,0.926907559390993,0.0672514619883041,4,23,0,4,1,0,1,0,2,0,0,0,0,12,0.219512195121951,2,0.124998030404408,1.70888201258795,4.82819383259912
"10",4,3,NA,1,0.693147180559945,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.66666666666667
"11",12,12,1.77844657658769,0.983159557242309,0.721463686692511,0.0909090909090909,1,10,0,1,0,0,0,0,1,0,0,0,0,10,0.2,0,0.0601606745739469,0.37037037037037,3.98550724637681
"12",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"13",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"14",17,21,1.98216856457643,0.91347551349969,0.790234755343283,0.0772058823529412,3,18,4,2,0,0,2,1,1,0,0,0,0,14,0.0909090909090909,4,0.145472263786929,1.83844230806213,5.625
"15",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"16",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"17",23,22,1.56704404338326,0.819861407986192,0.295439191872116,0.0434782608695652,0,21,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,8
"18",3,2,2.92359338785195,0.819861407986192,0.636514168294813,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.33333333333333
"19",5,4,4.28840461650191,0.819861407986192,0.673011667009257,0.2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
"20",11,10,1.88647920392335,0.819861407986192,0.474139313057837,0.0909090909090909,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4
"21",3,2,2.92359338785195,0.819861407986192,0.636514168294813,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.33333333333333
"22",13,13,1.93832288070455,0.765763173908239,0.535961049709069,0.0833333333333333,0,13,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0.43298969072165,4.5
"23",18,24,1.96032521120132,0.91347551349969,0.760755259244303,0.0784313725490196,7,27,12,10,0,0,15,3,2,0,0,0,0,9,0.075,6,0.156708258886742,2.48453608247423,3.3956043956044
"24",4,3,NA,1,0.693147180559945,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.66666666666667
"25",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"26",5,5,2.62303192100008,0.410824527408434,1.05492016798614,0.25,0,2,1,0,0,0,1,0,0,0,0,0,0,3,0,2,0.183659166810898,0.4375,1.72727272727273
"27",3,3,NA,1,1.09861228866811,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0.428571428571429,1.25
"28",4,3,NA,1,0.693147180559945,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.66666666666667
"29",7,6,2.45514222391639,0.819861407986192,0.598269588585257,0.142857142857143,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2.66666666666667
"30",2,2,Inf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,2,0,0,1
"31",16,16,1.6905872719678,0.976226217232024,0.601923971732289,0.0666666666666667,1,14,0,1,0,0,0,0,1,0,0,0,0,13,0.157894736842105,0,0.0427524022274401,0.496402877697842,4.98373983739837
"32",11,20,3.14124309320729,0.0265997045069352,1.15958881430863,0.181818181818182,6,9,13,4,0,1,3,6,2,2,1,0,0,8,0.305084745762712,8,0.386699681317375,2.58975653542158,2.3
"33",5,4,4.28840461650191,0.819861407986192,0.673011667009257,0.2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
"34",28,40,1.83085608940492,0.95673468454633,1.02517677095363,0.0529100529100529,5,39,13,6,1,0,15,3,0,1,0,1,0,15,0.1,10,0.202675877681788,3.45530766141963,5.86556927297668
"35",5,5,2.62303192100008,0.410824527408434,1.05492016798614,0.25,0,2,1,0,0,0,1,0,0,0,0,0,0,3,0,2,0.183659166810898,0.4375,1.72727272727273
