group,number in group,flow,session no,node
4,41,"0,000772203",23,1
2,1,"0,0145536",29,2
4,44,"0,000629701",36,3
5,6,"0,00555334",44,4
4,60,"0,000107029",50,5
10,16,"2,74142E-005",50,5
4,2,"0,00459655",65,6
1,1,"0,0185398",71,7
1,20,"0,00946183",73,8
4,25,"0,00154234",75,9
8,21,"0,000404219",75,9
9,8,"0,00142644",78,10
2,35,"0,00154474",86,11
7,9,"0,0014341",86,11
1,21,"0,00927133",89,12
6,17,"0,001061",89,12
1,15,"0,0102092",92,13
2,30,"0,0021722",92,13
1,12,"0,0132159",93,14
3,13,"0,00415752",105,15
8,1,"0,00211099",107,16
11,1,0,112,17
1,16,"0,0102092",117,18
2,31,"0,0021722",117,18
5,1,"0,00838293",118,19
4,4,"0,00361316",120,20
8,18,"0,000458294",123,21
4,22,"0,0016142",128,22
4,37,"0,00097336",130,23
9,12,"0,000931962",130,23
10,1,"0,000552654",132,24
4,57,"0,000185159",135,25
10,18,"1,14915E-005",135,25
3,8,"0,00587053",140,26
4,12,"0,00258484",143,27
9,5,"0,00154706",155,28
4,50,"0,000495241",157,29
4,23,"0,00157984",158,30
2,2,"0,0145536",161,31
2,3,"0,0145536",177,32
5,3,"0,00618678",181,33
2,13,"0,00828209",194,34
9,1,"0,00289217",209,35
1,26,"0,00650845",233,36
3,26,"0,00120098",233,36
7,10,"0,00112285",233,36
1,2,"0,0185398",234,37
3,10,"0,00570475",238,38
6,8,"0,00319758",244,39
8,14,"0,0011014",254,40
6,5,"0,00346354",256,41
1,17,"0,0102092",259,42
2,32,"0,0021722",259,42
2,23,"0,00358508",262,43
2,24,"0,00358508",269,44
2,36,"0,00146823",274,45
4,29,"0,00145917",275,46
3,14,"0,00385417",282,47
4,6,"0,00351183",284,48
3,19,"0,00218617",285,49
4,30,"0,00145325",286,50
4,9,"0,00314187",290,51
3,7,"0,00592329",301,52
8,17,"0,000831376",325,53
8,12,"0,00128541",328,54
3,1,"0,00924462",330,55
10,4,"0,000472547",340,56
1,5,"0,0133797",352,57
6,27,"0,000107349",359,58
10,11,"0,000111832",359,58
9,15,"0,000812654",366,59
5,2,"0,00621382",374,60
4,24,"0,00156178",408,61
5,4,"0,00586097",416,62
3,5,"0,00618787",431,63
4,45,"0,000626318",432,64
4,10,"0,0030101",433,65
6,12,"0,00222682",439,66
10,5,"0,000453974",445,67
2,14,"0,00828209",461,68
2,5,"0,00889999",470,69
6,2,"0,00395987",523,70
2,21,"0,00597864",525,71
3,21,"0,0016825",529,72
4,33,"0,00128448",529,72
6,9,"0,00319758",530,73
6,23,"0,000441738",532,74
6,10,"0,00319758",537,75
1,6,"0,0133797",554,76
1,7,"0,0133797",561,77
6,6,"0,00346354",575,78
1,13,"0,0132159",595,79
4,38,"0,000935835",603,80
8,24,"0,000255354",603,80
6,19,"0,000926454",618,81
9,10,"0,00114987",641,82
4,17,"0,00189516",648,83
8,20,"0,000430782",648,83
2,15,"0,00828209",653,84
4,52,"0,000461629",655,85
6,1,"0,00404014",656,86
3,4,"0,0064615",672,87
5,5,"0,00586097",677,88
4,49,"0,000550366",680,89
10,15,"2,86999E-005",680,89
4,59,"0,000136393",719,90
6,28,"8,63472E-005",719,90
7,1,"0,00524912",730,91
2,4,"0,0145536",739,92
6,11,"0,00293084",747,93
4,21,"0,00171058",763,94
1,27,"0,0055521",773,95
3,28,"0,000704895",773,95
7,6,"0,00250296",773,95
5,14,"0,00249959",799,96
9,11,"0,00109744",799,96
10,2,"0,000497126",801,97
4,14,"0,00223913",806,98
2,6,"0,00889999",810,99
3,6,"0,00618593",813,100
3,24,"0,00137633",826,101
6,14,"0,00165499",826,101
2,7,"0,00889999",839,102
